start,end,speaker,emotion_raw,emotion,confidence,text_sentiment,text_sent_conf,audio_valence,audio_arousal,text_valence,valence_fused,fused_sentiment,affect_label,attitude_label,state_label,rms_energy,zcr,duration,speaking_rate,f0_mean,f0_std,voiced_ratio,text
0.16,8.55,0,sad,sad,0.6836,neutral,0.5068,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.062956,0.079491,8.390,5.483,153.456,39.741,0.715,어 벗어나서 조금 더 이제 탄력적으로 토론을 하는 방식을 조금 실험을 한번 해보고 싶은 것도 있어서 그런 거니까.
11.13,26.66,0,sad,sad,0.8499,neutral,0.5796,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,피곤/권태,0.042161,0.067371,15.539,4.440,171.279,44.345,0.675,"네, 그러면 두 가지인데 지금 나온 이야기를 좀 종합해 보자면 강점이 그 강점을 가지고 있는 게 소수일 수 있다. 그리고 그 강점이 한편으로는 실행에 급급했던 것이 있고."
27.00,39.53,0,sad,sad,0.8646,negative,0.4942,0.0000,0.0000,-0.4942,-0.2471,overall_neutral,중립,중립,보통,0.050357,0.051337,12.535,6.063,147.950,35.171,0.791,뭐 그 외에 실행에 수반되는 뭐 명확한 가설이라든가 분석이라든가 혹은 뭐 회고라든가 이런 부분들이 좀 약했다. 그까 그 강점을 강점대로 두되 그런 부분을 보강해야 된다이런 거잖아요.
39.55,52.20,0,sad,sad,0.5407,negative,0.3819,0.0000,0.0000,-0.3819,-0.1910,overall_neutral,중립,중립,피곤/권태,0.044186,0.069714,12.652,4.821,160.603,37.799,0.649,"그러면 만약에 그 강점 보강한다고 치자. 그러면 어, 그 까 제가 여기 잠깐 끊고 제가 이제 어쩔 수 없이 이제 계속 이런 좀 이야기를 하게 되는 것 같은데."
52.92,65.44,0,sad,sad,0.5871,negative,0.5877,0.0000,0.0000,-0.5877,-0.2939,overall_negative,짜증/불만,중립,몰입/열정,0.059353,0.057510,12.520,6.390,159.930,42.449,0.737,"저도 제가 하는 얘기라든가 논조라든가 억양이 되게 센지 어떤지를 잘 모르겠어요. 이제 어떻게 딱 각각이 받아들이기에 너무 이제 논조가 세다, 혹은 이렇게 너무 푸시한다 이렇게 느낄 수 있는데."
65.44,76.42,0,sad,sad,0.4949,neutral,0.4224,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,보통,0.053676,0.061924,10.978,6.650,179.488,39.640,0.576,"사실 그런 거 보다가는 제 스스로는 그냥 이 내용에 집중하고 있는 거거든요, 토론에. 그래서 인제 감정적이지 않은데 이게 좀 후시한다고 느낄 수 있는데 어, 그렇지는 않습니다."
76.58,92.83,0,sad,sad,0.7263,positive,0.4080,0.0000,0.0000,0.4080,0.2040,overall_neutral,중립,공감/배려,피곤/권태,0.043709,0.059301,16.248,4.554,180.578,42.035,0.608,"그래서 인제 그게 뭐 불편하면 따로 얘기를 해주셔도 되고요. 어, 일단 그럼 다시 돌아가서 어, 그럼 강점이 소수일 수 있다면 그럼 지금은 그 소수를 믿고 달리는 것이 중요하겠네요."
93.65,96.53,0,hap,hap,0.4542,positive,0.5997,0.0000,0.0000,0.5997,0.2998,overall_positive,긍정/낙관,공감/배려,보통,0.064607,0.045378,2.880,6.250,169.565,24.753,0.835,그것이 우리에게 더 적합한 전략이겠네요.
99.03,102.35,1,hap,hap,0.7736,neutral,0.5335,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,피곤/권태,0.044691,0.057500,3.320,4.217,210.798,47.083,0.837,이게 그 그 길만이 있지는 않겠죠.
102.61,110.75,0,sad,sad,0.4302,neutral,0.5135,0.0000,0.0000,0.0000,0.0000,overall_neutral,중립,중립,긴장,0.057406,0.061772,8.140,4.914,195.042,42.332,0.741,"어, 그렇죠. 그런 전략도 있으 음 선택할 수 있겠죠. 강점이 있는 소수의 소수에 집중하는 방식."
